"Offenses","All ages","0 to 17","18 & older","10 to 17","0 to 14","15 to 17","18 to 20","21 to 24","25 & older",
"All offenses","13,645,200","2,041,820","11,603,380","1,982,450","640,260","1,401,560","1,960,030","2,306,780","7,336,580",
"Murder and nonnegligent manslaughter","21,890","2,340","19,550","2,330","270","2,070","3,520","3,950","12,080",
"Forcible rape","38,610","5,560","33,050","5,420","1,870","3,690","4,750","6,480","21,830",
"Robbery","149,100","32,230","116,880","31,920","8,580","23,650","26,540","28,930","61,400",
"Aggravated assault","416,300","52,470","363,830","51,360","15,480","36,990","47,450","69,170","247,220",
"Burglary","463,400","155,230","308,170","149,400","58,960","96,270","86,130","70,670","151,370",
"Larceny-theft","1,571,200","474,300","1,096,900","454,700","206,110","268,190","221,560","204,270","671,080",
"Motor vehicle theft","208,400","83,570","124,840","83,170","21,650","61,920","38,550","29,400","56,890",
"Arson","19,700","8,380","11,320","6,800","5,550","2,830","1,920","2,160","7,240",
"Simple assault","901,800","127,040","774,760","122,980","46,820","80,220","99,550","156,180","519,030",
"Forgery and counterfeiting","101,700","8,510","93,190","8,460","1,310","7,200","16,320","20,110","56,770",
"Fraud","366,300","15,680","350,620","15,510","5,960","9,720","32,270","65,670","252,680",
"Embezzlement","15,500","1,210","14,290","1,200","140","1,070","2,510","2,960","8,830",
"Stolen property (buying, receiving, possessing)","166,300","41,440","124,870","41,030","10,580","30,860","33,090","27,970","63,810",
"Vandalism","295,300","118,670","176,630","108,900","57,650","61,030","43,400","40,030","93,210",
"Weapons (carrying, possessing, etc.)","221,800","36,310","185,490","35,830","9,410","26,900","35,400","38,710","111,380",
"Prostitution and commercialized vice","104,100","1,920","102,180","1,900","220","1,700","11,770","24,800","65,610",
"Sex offense (except forcible rape and prostitution)","106,300","17,220","89,080","16,360","8,570","8,650","9,530","13,850","65,700",
"Drug abuse violations","1,155,200","104,630","1,050,570","104,330","13,560","91,070","181,280","239,160","630,140",
"Gambling","23,600","990","22,610","980","170","810","1,250","1,900","19,470",
"Offenses against the family and children","69,900","3,080","66,820","2,850","950","2,130","5,870","11,410","49,540",
"Driving under the influence","1,792,500","24,580","1,767,920","24,370","540","24,040","152,360","322,860","1,292,700",
"Liquor laws","669,600","169,890","499,710","169,490","11,920","157,970","285,300","74,160","140,250",
"Drunkenness","818,600","24,230","794,370","24,020","2,640","21,590","70,630","123,350","600,390",
"Disorderly conduct","760,500","117,440","643,070","114,660","33,930","83,510","115,670","145,680","381,710",
"Vagrancy","36,500","3,210","33,300","3,150","840","2,360","4,200","4,850","24,250",
"All other offenses (except traffic)","3,078,900","339,540","2,739,360","329,960","96,230","243,310","429,210","578,120","1,732,030",
"Curfew and loitering","72,200","72,200","0","71,390","20,370","51,830","0","0","0",
"Violent Crime Index","625,900","92,590","533,310","91,020","26,190","66,400","82,250","108,530","342,530",
"Property Crime Index","2,262,700","721,470","1,541,230","694,070","292,260","429,210","348,160","306,490","886,570",
"Violent crimes*","587,290","87,030","500,260","85,600","24,320","62,710","77,510","102,060","320,700",

"* The 'violent crimes' category includes the offenses of murder, robbery, and aggravated assault and is presented as an alternative to the Violent Crime Index, which is not available as a result of the change to the definition of rape in 2013. In any given year prior to the change in the rape definition, these three offenses accounted for more than 95% of arrests for Violent Crime Index offenses."

"Internet citation: OJJDP Statistical Briefing Book. Estimated number of arrests by offense and age group, 1988. Available: https://www.ojjdp.gov/ojstatbb/crime/ucr.asp?table_in=1. Released onNovember 16, 2020."

"Data source: Arrest estimates for 1980-2014 developed by the Bureau of Justice Statistics and disseminated through 'Arrest Data Analysis Tool.' Online. Available from the BJS website. "
"Arrest estimates for 2015 through 2019 developed by the National Center for Juvenile Justice based on data published in the FBI's Crime in the United States reports. These are preliminary estimates that will be updated upon release of final estimates on the Bureau of Justice Statistics' Arrest Data Analysis Tool. "
